date,SalesAmount,year,month,day,weekday,holiday1,holiday9,holiday5,holiday4,holiday2,holiday10,holiday3,holiday6,holiday7,holiday8,short_business_hour,day_temp,night_temp,day_weather,night_weather,event,web_traffic,training
2015-10-30,25003,2015,10,30,6,0,0,0,0,0,0,0,0,0,0,0,16,11,fair,fair,0,485,1
2015-11-01,28926,2015,11,1,1,0,0,0,0,0,0,0,0,0,0,0,18,6,good,good,0,793,1
2015-09-24,14573,2015,9,24,5,0,0,0,0,0,0,0,0,0,0,0,25,18,small_trouble,med_trouble,0,283,0
2015-09-18,18241,2015,9,18,6,0,0,0,0,0,0,0,0,0,0,0,24,18,small_trouble,small_trouble,0,373,1
2015-10-07,22885,2015,10,7,4,0,0,0,0,0,0,1,0,0,0,0,24,17,little_trouble,good,0,500,0
2015-11-03,11331,2015,11,3,3,0,0,0,0,0,0,0,0,0,0,0,20,13,good,good,0,279,0
2015-10-08,12161,2015,10,8,5,0,0,0,0,0,0,0,0,0,0,0,24,15,good,good,0,314,1
2015-09-25,17412,2015,9,25,6,0,0,0,0,0,0,0,0,0,0,0,24,20,little_trouble,good,0,439,1
2015-10-09,13290,2015,10,9,6,0,0,0,0,0,0,0,0,0,0,0,23,13,good,good,0,348,1
2015-11-07,28062,2015,11,7,7,0,0,0,0,0,0,0,0,0,0,0,10,7,little_trouble,little_trouble,0,546,1
2015-10-10,14840,2015,10,10,7,0,0,0,0,0,0,0,0,0,0,1,24,11,good,good,0,455,1
2015-09-08,13449,2015,9,8,3,0,0,0,0,0,0,0,0,0,0,0,30,21,good,good,0,304,1
2015-08-25,14762,2015,8,25,3,0,0,0,0,0,0,0,0,0,0,0,31,21,good,good,0,356,1
2015-07-21,22978,2015,7,21,3,0,0,0,0,0,0,0,0,0,0,0,33,25,good,good,0,338,0
2015-08-30,32343,2015,8,30,1,0,0,0,0,0,0,0,0,0,0,0,33,22,good,good,0,605,1
2015-08-22,22172,2015,8,22,7,0,0,0,0,0,0,0,0,0,0,0,32,22,good,good,0,488,1
2015-07-25,30782,2015,7,25,7,0,0,0,0,0,0,0,0,0,0,0,34,25,good,good,0,500,1
2015-07-26,29886,2015,7,26,1,0,0,0,0,0,0,0,0,0,0,0,32,26,little_trouble,little_trouble,0,496,1
2015-09-07,11382,2015,9,7,2,0,0,0,0,0,0,0,0,0,0,0,30,21,good,good,0,278,1
2015-07-29,17447,2015,7,29,4,0,0,0,0,0,0,0,0,0,0,0,35,26,good,good,0,357,1
2015-08-08,24898,2015,8,8,7,0,0,0,0,0,0,0,0,0,0,0,34,26,good,good,0,466,1
2015-07-28,17046,2015,7,28,3,0,0,0,0,0,0,0,0,0,0,0,35,27,good,good,0,323,1
2015-07-13,18467,2015,7,13,2,0,0,0,0,0,0,0,0,0,0,0,35,26,good,good,0,309,1
2015-07-23,16286,2015,7,23,5,0,0,0,0,0,0,0,0,0,0,0,29,24,big_trouble,med_trouble,0,267,0
2015-08-23,28000,2015,8,23,1,0,0,0,0,0,0,0,0,0,0,0,32,22,good,good,0,584,1
2015-07-24,44866,2015,7,24,6,0,0,0,0,0,0,0,0,0,0,0,30,24,good,good,0,387,1
2015-08-28,16364,2015,8,28,6,0,0,0,0,0,0,0,0,0,0,0,32,22,good,good,0,405,1
2015-09-01,14939,2015,9,1,3,0,0,0,0,0,0,0,0,0,0,0,33,22,good,good,0,314,1
2015-09-05,27604,2015,9,5,7,0,0,0,0,0,0,0,0,0,0,0,30,23,little_trouble,good,0,503,1
2015-09-06,14619,2015,9,6,1,0,0,0,0,0,0,0,0,0,0,0,32,21,good,good,0,341,1
2015-08-10,14724,2015,8,10,2,0,0,0,0,0,0,0,0,0,0,0,27,24,small_trouble,good,0,350,0
2015-08-16,27677,2015,8,16,1,0,0,0,0,0,0,0,0,0,0,0,32,24,good,good,0,554,1
2015-08-18,15195,2015,8,18,3,0,0,0,0,0,0,0,0,0,0,0,30,23,little_trouble,small_trouble,0,342,1
2015-07-22,18538,2015,7,22,4,0,0,0,0,0,0,0,0,0,0,0,33,24,little_trouble,small_trouble,0,313,1
2015-08-26,15933,2015,8,26,4,0,0,0,0,0,0,0,0,0,0,0,31,22,good,good,0,354,1
2015-07-14,17840,2015,7,14,3,0,0,0,0,0,0,0,0,0,0,0,34,26,little_trouble,little_trouble,0,331,1
2015-08-27,16118,2015,8,27,5,0,0,0,0,0,0,0,0,0,0,0,32,22,good,good,0,360,0
2015-07-19,34883,2015,7,19,1,0,0,0,0,0,0,0,0,0,0,0,32,23,fair,good,0,596,1
2015-08-29,28119,2015,8,29,7,0,0,0,0,0,0,0,0,0,0,0,32,22,good,good,0,533,0
2015-08-06,18759,2015,8,6,5,0,0,0,0,0,0,0,0,0,0,0,33,25,little_trouble,good,0,367,1
